,Date,Category,Sub-Category,Amount,Credit,Comments,Type
126,26-06-2022,Unknown,Unknown,240.0,,Unknown,optional
127,26-06-2022,Car,Petrol,800.0,,petrol,mandatory
128,26-06-2022,Food,Stall,70.0,,tea,optional
129,26-06-2022,Income,Divyang contribution,,500.0,contribution,
130,26-06-2022,Car,Driver,2500.0,,driver,mandatory
131,28-06-2022,Enternainment,Movies,168.0,,JJK 0,optional
132,29-06-2022,Food,Swiggy,427.0,,butter chiken,optional
133,30-06-2022,Income,Salary,,101375.0,Salary,
134,30-06-2022,Income,Interest,,593.0,interest,
135,30-06-2022,Shopping,Amazon,598.0,,bag,optional
136,30-06-2022,Shopping,Amazon,345.0,,facial tissue,optional
137,30-06-2022,Food,Stall,120.0,,"bread, egg",mandatory
138,01-09-2022,Salary,Salary,,145107.0,salary,
139,01-09-2022,Groceries,Mart,794.0,,rajasthani shop,mandatory
140,01-09-2022,Shopping,Amazon,3563.0,,kitchen stands,optional
141,01-09-2022,Others,Others,106.0,,pan update,optional
142,01-09-2022,Food,Country Delight,600.0,,coconut water,mandatory
143,01-09-2022,Car,Maintenance,500.0,,car wash,mandatory
144,01-09-2022,Shopping,Amazon,229.0,,kitchen stand,optional
145,02-09-2022,Bill,Uni card,4674.0,,,mandatory
146,02-09-2022,Bill,Credit Card,3000.0,,,mandatory
147,02-09-2022,Unknown,Unknown,470.0,,,optional
148,02-09-2022,Groceries,Big Basket,1500.0,,bbdaily,mandatory
149,03-09-2022,Pet,Vet,400.0,,vet check,mandatory
150,03-09-2022,Food,Stall,96.0,,tea snacks,optional
151,03-09-2022,Shopping,Mart,2580.0,,to uttam,optional
152,03-09-2022,Shopping,Mart,3058.0,,monthly groceries,mandatory
153,03-09-2022,Shopping,Mart,1620.0,,"kitchen stand, microwave casterol",optional
154,03-09-2022,Car,Driver,1500.0,,to uttam,mandatory
155,03-09-2022,Food,Swiggy,430.0,,butter chicken,optional
156,04-09-2022,Enternainment,OTT,199.0,,netflix,optional
157,04-09-2022,Food,Zomato,1049.0,,fish,optional
158,05-09-2022,Food,Dunzo,340.0,,chicken,optional
159,06-09-2022,Shopping,Amazon,858.0,,blanket,optional
160,08-09-2022,Bill,Electricity,540.0,,electric bill,mandatory
161,08-09-2022,Bill,D2H,500.0,,d2h bill,mandatory
162,2022-09-05,Bill,Mobile,470.0,,jio postpaid,mandatory
163,2022-09-05,Food,Swiggy,228.0,,samosa,optional
164,2022-09-10,Food,Stall,42.0,,tea,optional
165,2022-09-10,Groceries,Stall,250.0,,fruits,mandatory
166,2022-09-10,Others,Others,120.0,,pooja needs,optional
167,2022-09-10,Shopping,Others,1020.0,,kitchen utensils,optional
168,2022-09-10,Car,Driver,1500.0,, to Uttam,mandatory
169,2022-09-10,Gift,Gift,3000.0,, to Daisy,mandatory
170,2022-09-09,Bill,Mobile,155.0,,airtel mom,mandatory
171,2022-09-10,Car,Petrol,800.0,,petrol,mandatory
